"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Power distributors and dispatchers,51-8012,Line item,9.7,9.1,-0.6,-6.6,—,0.8,"$98,530",High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,Line item,29.2,24.7,-4.5,-15.5,—,2.1,"$80,850",High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,Line item,32.5,33.8,1.3,4.0,1.3,4.2,"$63,500",High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,Line item,125.2,116.6,-8.6,-6.9,1.1,10.8,"$47,880",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,Summary,88.9,88.4,-0.5,-0.6,0.8,9.3,"$76,670",—,—,—
Chemical plant and system operators,51-8091,Line item,22.4,22.1,-0.2,-1.1,0.9,2.3,"$70,200",High school diploma or equivalent,None,Moderate-term on-the-job training
Gas plant operators,51-8092,Line item,15.3,14.0,-1.4,-9.0,0.8,1.4,"$77,850",High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,35.3,36.4,1.0,3.0,0.9,3.9,"$79,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant and system operators, all other",51-8099,Line item,15.9,15.9,0.1,0.4,0.7,1.7,"$50,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Other production occupations,51-9000,Summary,"2,531.6","2,528.7",-2.9,-0.1,2.9,297.8,"$37,710",—,—,—
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,161.9,156.8,-5.1,-3.1,1.4,16.0,"$47,580",—,—,—
Chemical equipment operators and tenders,51-9011,Line item,110.3,104.8,-5.5,-5.0,1.4,10.6,"$48,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,51.6,52.0,0.5,0.9,1.4,5.4,"$46,030",High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,159.2,158.0,-1.2,-0.7,0.5,17.5,"$38,160",—,—,—
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,32.1,31.4,-0.7,-2.2,0.5,3.5,"$38,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,Line item,16.1,13.1,-3.0,-18.7,0.5,1.3,"$35,670",No formal educational credential,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,111.0,113.5,2.5,2.3,0.5,12.8,"$38,420",High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,51-9030,Summary,66.5,62.9,-3.6,-5.4,1.7,8.0,"$37,660",—,—,—
"Cutters and trimmers, hand",51-9031,Line item,8.2,5.9,-2.3,-28.4,1.7,0.7,"$30,230",No formal educational credential,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,58.3,57.0,-1.3,-2.2,1.7,7.3,"$37,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,58.4,60.8,2.5,4.2,1.3,6.3,"$37,660",High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,15.3,15.7,0.4,2.7,5.8,1.8,"$43,710",High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,571.6,554.5,-17.2,-3.0,1.8,67.8,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,Line item,45.8,46.4,0.6,1.4,44.9,6.1,"$46,640",High school diploma or equivalent,None,Long-term on-the-job training
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,73.3,74.7,1.4,1.9,4.4,9.9,"$39,090",—,—,—
Dental laboratory technicians,51-9081,Line item,36.7,36.5,-0.3,-0.7,4.4,4.8,"$45,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,Line item,16.4,17.3,0.9,5.3,4.4,2.3,"$45,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Ophthalmic laboratory technicians,51-9083,Line item,20.2,20.9,0.7,3.7,4.5,2.8,"$37,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,Line item,362.6,377.4,14.8,4.1,—,43.8,"$35,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,51-9120,Summary,172.9,177.8,4.8,2.8,6.9,17.9,"$38,670",—,—,—
"Painting, coating, and decorating workers",51-9123,Line item,13.0,13.4,0.4,3.3,6.8,1.4,"$37,330",No formal educational credential,None,Moderate-term on-the-job training
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,160.0,164.4,4.4,2.8,6.9,16.6,"$39,130",High school diploma or equivalent,None,Moderate-term on-the-job training
Semiconductor processing technicians,51-9141,Line item,27.0,27.9,0.9,3.4,6.1,3.2,"$39,870",High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,Line item,7.4,7.7,0.3,3.5,20.7,1.1,"$36,590",High school diploma or equivalent,None,Short-term on-the-job training
Computer numerically controlled tool operators and programmers,51-9160,Summary,186.7,179.4,-7.3,-3.9,—,18.3,"$47,380",—,—,—
Computer numerically controlled tool operators,51-9161,Line item,160.4,147.6,-12.8,-8.0,—,14.7,"$46,640",High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Line item,26.2,31.8,5.5,21.1,—,3.6,"$60,780",Postsecondary nondegree award,None,Moderate-term on-the-job training
Miscellaneous production workers,51-9190,Summary,623.0,628.7,5.7,0.9,3.1,80.1,"$35,840",—,—,—
Adhesive bonding machine operators and tenders,51-9191,Line item,12.7,12.9,0.2,1.5,—,1.6,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.5,15.5,1.0,6.8,6.4,1.8,"$35,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,Line item,8.3,8.8,0.5,6.2,6.2,1.0,"$40,390",High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,Line item,7.2,7.5,0.2,3.1,—,0.8,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,41.3,49.2,7.9,19.3,5.8,5.7,"$37,500",High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,Line item,87.5,83.8,-3.7,-4.3,—,10.1,"$44,820",High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,Line item,17.7,19.1,1.4,8.1,—,2.1,"$47,940",High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,Line item,206.9,190.3,-16.5,-8.0,0.7,28.7,"$30,000",High school diploma or equivalent,None,Short-term on-the-job training
"Production workers, all other",51-9199,Line item,226.9,241.6,14.7,6.5,6.2,28.3,"$32,930",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,Summary,"13,350.7","14,212.6",861.8,6.5,3.9,"1,970.9","$36,860",—,—,—
Supervisors of transportation and material moving workers,53-1000,Summary,570.8,602.7,32.0,5.6,0.9,72.5,"$54,830",—,—,—
Aircraft cargo handling supervisors,53-1041,Line item,8.9,9.9,0.9,10.5,0.9,1.2,"$53,540",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,561.8,592.9,31.0,5.5,0.9,71.3,"$54,850",High school diploma or equivalent,Less than 5 years,None
Air transportation workers,53-2000,Summary,277.5,308.4,30.9,11.1,1.5,40.2,"$82,170",—,—,—
Aircraft pilots and flight engineers,53-2010,Summary,135.3,143.0,7.7,5.7,2.2,18.1,"$134,630",—,—,—
"Airline pilots, copilots, and flight engineers",53-2011,Line item,87.6,92.9,5.2,6.0,—,11.8,"$202,180",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,Line item,47.7,50.1,2.4,5.1,6.4,6.3,"$99,640",Postsecondary nondegree award,None,Moderate-term on-the-job training
Air traffic controllers and airfield operations specialists,53-2020,Summary,35.9,37.1,1.2,3.3,—,4.0,"$90,600",—,—,—
Air traffic controllers,53-2021,Line item,22.9,23.0,0.1,0.6,—,2.4,"$129,750",Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,Line item,13.0,14.1,1.0,8.0,—,1.5,"$47,880",High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,53-2031,Line item,106.3,128.4,22.1,20.8,1.1,18.1,"$61,640",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,53-3000,Summary,"4,648.3","5,017.9",369.6,8.0,9.1,624.7,"$42,670",—,—,—
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,11.9,11.7,-0.1,-1.0,—,1.8,"$29,120",High school diploma or equivalent,None,Moderate-term on-the-job training
Driver/sales workers and truck drivers,53-3030,Summary,"3,735.4","4,000.5",265.1,7.1,7.4,479.8,"$45,580",—,—,—
Driver/sales workers,53-3031,Line item,531.0,594.5,63.5,12.0,7.4,72.3,"$29,280",High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,Line item,"2,094.7","2,185.6",90.9,4.3,7.4,259.9,"$48,310",Postsecondary nondegree award,None,Short-term on-the-job training
Light truck drivers,53-3033,Line item,"1,109.7","1,220.4",110.7,10.0,7.5,147.6,"$38,280",High school diploma or equivalent,None,Short-term on-the-job training
Passenger vehicle drivers,53-3050,Summary,832.6,931.6,98.9,11.9,15.4,131.1,"$37,540",—,—,—
"Bus drivers, school",53-3051,Line item,354.7,378.2,23.4,6.6,0.8,59.5,"$37,910",High school diploma or equivalent,None,Short-term on-the-job training
"Bus drivers, transit and intercity",53-3052,Line item,159.9,173.0,13.1,8.2,2.6,23.3,"$48,620",High school diploma or equivalent,None,Moderate-term on-the-job training
Shuttle drivers and chauffeurs,53-3053,Line item,189.5,215.2,25.8,13.6,3.7,29.0,"$30,000",No formal educational credential,None,Short-term on-the-job training
Taxi drivers,53-3054,Line item,128.5,165.1,36.6,28.5,88.9,19.4,"$29,310",No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,Line item,68.4,74.1,5.7,8.3,26.1,11.9,"$30,600",No formal educational credential,None,Short-term on-the-job training
Rail transportation workers,53-4000,Summary,88.2,91.7,3.4,3.9,0.2,8.8,"$64,170",—,—,—
Locomotive engineers and operators,53-4010,Summary,30.4,31.7,1.3,4.4,—,3.0,"$78,680",—,—,—
Locomotive engineers,53-4011,Line item,26.6,27.9,1.3,4.7,—,2.6,"$79,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,3.8,3.8,0.1,2.1,—,0.4,"$61,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11.8,11.9,0.1,1.2,—,1.3,"$63,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,Line item,34.3,35.9,1.6,4.7,0.5,3.2,"$63,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,Line item,10.6,10.9,0.4,3.5,—,1.2,"$81,180",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,Line item,1.2,1.2,0.0,-1.2,—,0.1,"$47,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,53-5000,Summary,75.4,75.9,0.5,0.6,4.3,8.7,"$62,760",—,—,—
Sailors and marine oilers,53-5011,Line item,27.6,27.7,0.1,0.4,—,3.3,"$46,720",No formal educational credential,None,Moderate-term on-the-job training
Ship and boat captains and operators,53-5020,Summary,39.9,40.3,0.4,1.1,8.1,4.5,"$80,010",—,—,—
"Captains, mates, and pilots of water vessels",53-5021,Line item,36.8,37.2,0.4,1.2,8.1,4.1,"$81,640",Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,53-5022,Line item,3.1,3.1,0.0,-0.2,7.4,0.3,"$38,670",Postsecondary nondegree award,Less than 5 years,None
Ship engineers,53-5031,Line item,7.9,7.8,-0.1,-0.7,—,0.9,"$82,410",Postsecondary nondegree award,Less than 5 years,None
Other transportation workers,53-6000,Summary,294.8,302.6,7.7,2.6,0.4,45.0,"$29,940",—,—,—
Bridge and lock tenders,53-6011,Line item,4.2,4.2,0.0,0.0,2.2,0.5,"$45,390",High school diploma or equivalent,None,Short-term on-the-job training
Parking attendants,53-6021,Line item,95.9,101.3,5.4,5.6,0.3,14.8,"$29,240",No formal educational credential,None,Short-term on-the-job training
Transportation service attendants,53-6030,Summary,125.8,126.8,0.9,0.7,—,19.8,"$29,570",—,—,—
Automotive and watercraft service attendants,53-6031,Line item,113.6,113.2,-0.4,-0.4,—,17.7,"$29,330",No formal educational credential,None,Short-term on-the-job training
Aircraft service attendants,53-6032,Line item,12.3,13.6,1.3,10.7,—,2.2,"$36,390",High school diploma or equivalent,None,Short-term on-the-job training
Traffic technicians,53-6041,Line item,8.0,8.2,0.2,2.3,1.0,1.0,"$48,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,Line item,24.9,25.4,0.5,1.8,—,2.8,"$79,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Passenger attendants,53-6061,Line item,21.5,21.7,0.2,0.8,—,4.0,"$30,470",High school diploma or equivalent,None,Short-term on-the-job training
"Transportation workers, all other",53-6099,Line item,14.5,15.1,0.7,4.6,4.4,1.9,"$36,880",High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,53-7000,Summary,"7,395.7","7,813.4",417.7,5.6,1.2,"1,171.1","$31,010",—,—,—
Conveyor operators and tenders,53-7011,Line item,34.6,37.0,2.4,7.0,18.1,5.0,"$36,420",No formal educational credential,None,Short-term on-the-job training
Crane and tower operators,53-7021,Line item,45.1,45.2,0.2,0.4,3.1,4.8,"$62,240",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Dredge operators,53-7031,Line item,2.0,2.1,0.1,2.9,17.0,0.3,"$46,210",High school diploma or equivalent,None,Moderate-term on-the-job training
Hoist and winch operators,53-7041,Line item,3.2,3.2,0.0,1.0,16.5,0.4,"$52,300",No formal educational credential,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,Line item,767.4,821.6,54.2,7.1,0.2,95.3,"$38,380",No formal educational credential,None,Short-term on-the-job training
Laborers and material movers,53-7060,Summary,"6,334.3","6,685.1",350.8,5.5,1.0,"1,035.4","$30,320",—,—,—
Cleaners of vehicles and equipment,53-7061,Line item,391.7,414.3,22.7,5.8,6.8,59.9,"$29,280",No formal educational credential,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,"2,806.5","2,974.8",168.4,6.0,1.0,421.9,"$31,230",No formal educational credential,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,Line item,61.2,65.0,3.9,6.3,0.7,10.8,"$37,010",No formal educational credential,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,Line item,602.3,600.3,-2.0,-0.3,0.5,92.4,"$29,940",No formal educational credential,None,Short-term on-the-job training
Stockers and order fillers,53-7065,Line item,"2,472.7","2,630.6",157.9,6.4,0.2,450.4,"$30,110",High school diploma or equivalent,None,Short-term on-the-job training
Pumping station operators,53-7070,Summary,32.1,33.9,1.8,5.8,2.4,4.2,"$62,090",—,—,—
Gas compressor and gas pumping station operators,53-7071,Line item,3.0,3.0,0.0,-0.1,2.5,0.4,"$70,720",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,Line item,11.0,12.3,1.3,11.4,2.5,1.5,"$49,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,Line item,18.0,18.6,0.6,3.3,2.4,2.3,"$63,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,Line item,138.7,146.2,7.5,5.4,7.2,20.6,"$38,500",No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,Line item,13.5,13.1,-0.3,-2.5,8.5,1.7,"$49,390",No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,Line item,25.0,26.0,1.1,4.3,7.6,3.5,"$36,150",No formal educational credential,None,Short-term on-the-job training
Footnotes:,,,,,,,,,,,,
"(1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,,
